authors.1,authors.2
Andrea Grillo,"Andrea Grillo"
R Dhinesh,"R Dhinesh"
Swaathi Venkat,"Swaathi Venkat"
Koushik Bhat,"Koushik Bhat"
Jayaraman Kumutha,"Jayaraman Kumutha"
Jivitha Jyothi Ramesh,"Jivitha Jyothi Ramesh"
Vijai Shankar Raja,"Vijai Shankar Raja"
Boby George,"Boby George"
Ankur Gupta,"Ankur Gupta"
Konrad Heimann,"Konrad Heimann"
NA REMOVE,"o"
Koen M van Der Sluijs,"Koen M van der Sluijs"
Divyansh Srivastava,"Divyansh Srivastava"
Dave Veerasingham,"Dave Veerasingham"
Harish E Kumar,"Harish E Kumar"
Jayaraj Joseph,"Joseph Jayaraj"
Lisa Wanders,"Lisa Wanders"
Rachel Climie,"Rachel Climie"
Stefan Orter,"Stefan Orter"
Latif Rajesh Johnson,"Latif Rajesh Johnson"
S Ponkalaivani,"S Ponkalaivani"
Vasiliki Bikia,"Vasiliki Bikia"
Tapio Seppänen,"Tapio Seppänen"
Goran Šimić,"Goran Šimić"
S Latha,"S Lata"
Rebecca Folkerth,"Rebecca Folkerth"
A Kiruthiga,"A Kiruthiga"
Dick HJ Thijssen,"Dick Thijssen"
G Rohini,"G Rohini"
Kishore Kumar Deepak,"Kishore Kumar Deepak"
Jordi Alastruey,"Jordi Alastruey"
Arya Sree Thrivikraman,"Arya Sree Thrivikraman"
NA REMOVE,"a"
Aparna Bhaduri,"Aparna Bhaduri"
Rajesh Pioneer Sangameswaran,"Rajesh Pioneer Sangameswaran"
Hari Narayanan,"Hari Narayanan"
Kai Noponen,"Kai Noponen"
Uthappa P Poojitha,"Uthappa P Poojitha"
S Karthik,"S Karthik"
Jöran Rixen,"Jöran Rixen"
Prabhdeep Kaur,"Prabhdeep Kaur"
Shirley Selvan,"Shirley Selvan"
Sadagopalan Thanikachalam,"Sadagopalan Thanikachalam"
Lalit Mahajan,"Lalit Mahajan"
Maria C DeRosa,"Maria C DeRosa"
Sujith Chandy,"Sujith Chandy"
S Ishwarya,"S Ishwarya"
NA REMOVE,"v"
Tony J Akl,"Tony J Akl"
NA REMOVE,"r"
Ana Carolina Goncalves Seabra,"Ana Carolina Goncalves Seabra"
Maria TE Hopman,"Maria TE Hopman"
NA REMOVE,"b"
Kiran V Raj,"V Raj"
Isabella Tan,"Isabella Tan"
Jules M Janssen Daalen,"Jules M Janssen Daalen"
S Santhosh Kumar,"S Santhosh Kumar"
Chrisline Sam C,"Chrisline Sam C"
Panicos A Kyriacou,"Panicos A Kyriacou"
Chitra Srinivasan,"Chitra Srinivasan"
Moitrayee Majumder,"Moitrayee Majumder"
NA REMOVE,"J"
Selvadurai Sekar,"Selvadurai Sekar"
Lotte Koopmans,"Lotte Koopmans"
R Nishitha,"R Nishitha"
PM Nabeel,"P M Nabeel"
R Arathy,"R Arathy"
Amal Dhivahar S,"Amal Dhivahar S"
V Jagadeesh Kumar,"V Jagadeesh Kumar"
Berend E Westerhof,"Berend E Westerhof"
Bernhard Hametner,"Bernhard Hametner"
Hanna Frese,"Hanna Frese"
Antti Vehkaoja,"Antti Vehkaoja"
C Boobalan,"C Boobalan"
Christoph Hoog Antink,"Christoph Hoog Antink"
Kiran V Raj,"Kiran V Raj"
Jayaraj Joseph,"J Joseph"
Vinay Chilaka,"Vinay Chilaka"
Werner H Mess,"Werner H Mess"
Gajendra Kumar Verma,"Gajendra Kumar Verma"
NA REMOVE,"S"
PM Nabeel,"Nabeel PM"
Jos Thannhauser,"Jos Thannhauser"
NA REMOVE,"d"
VV Abhidev,"VV Abhidev"
Reetuparna Nanda,"Reetuparna Nanda"
Djammaleddine Djeldjli,"Djammaleddine Djeldjli"
Vala Jeyhani,"Vala Jeyhani"
NA REMOVE,"N"
Parmis Karimpour,"Parmis Karimpour"
Calvin G Brouwer,"Calvin G Brouwer"
Peter H Charlton,"Peter H Charlton"
Afrah EF Malik,"Afrah EF Malik"
JM Poorneshwaran,"JM Poorneshwaran"
Nijmegen Exercise Study collaboration,"Nijmegen Exercise Study collaboration"
Arsath PS Mohamed Tanveejul,"Arsath PS Mohamed Tanveejul"
Sudha Vasudevan,"Sudha Vasudevan"
AS Anusha,"AS Anusha"
Malay Ilesh Shah,"Malay I Iesh Shah"
C Hoog Antink,"C Hoog Antink"
Dinu S Chandran,"Dinu S Chandran"
Shitanshu Kusmakar,"Shitanshu Kusmakar"
Jose Joy,"Jose Joy"
Stephen Savoia,"Stephen Savoia"
Dinu S Chandran,"Dinu Chandran"
Rajeswaran Rangasami,"Rajeswaran Rangasami"
Ujwal Sriharsha Sanne,"Ujwal Sriharsha Sanne"
Jayaraman Kumutha,"Kumutha Jayaraman"
Karthik Srinivasa,"Srinivasa Karthik"
Lotte R Hazeleger,"Lotte R Hazeleger"
Bhaskara Satyanarayana Margana,"Bhaskara Satyanarayana Margana"
Kiran V Raj,"Raj V Kiran"
Supriti Mulay,"Supriti Mulay"
Nicky Nirlipta Sahoo,"Nicky Nirlipta Sahoo"
Rakshika Raveendran,"Rakshika Raveendran"
Mahesh J Shetty,"Mahesh Shetty"
Ramachandran Venkatachalam,"Ramachandran Venkatachalam"
Balamurugan Vinayagamurthy,"Balamurugan Vinayagamurthy"
T Arya Sree,"T Arya Sree"
Surya Venkatramanan,"Surya Venkatramanan"
Arsath PS Mohamed Tanveejul,"Mohamed Tanveejul PS Arsath PS"
NA REMOVE,"p"
Prasun K Roy,"Prasun K Roy"
Ashok Kumar Jaryal,"Ashok Kumar Jaryal"
Vaishali Balakarthikeyan,"Vaishali Balakarthikeyan"
Christopher DJ,"DJ Christopher"
Niels A Stens,"Niels A Stens"
M Sivaprakasam,"M Sivaprakasam"
Malay Ilesh Shah,"Malay Shah"
Akshay S Ravindran,"Akshay S Ravindran"
Lalitha Pratyusha Bheemavarapu,"Lalitha Pratyusha Bheemavarapu"
Rosa Maria Bruno,"Rosa Maria Bruno"
Fengmei Su,"Fengmei Su"
Christopher Clemens Mayer,"Christopher Clemens Mayer"
NA REMOVE,"K"
Paul R Manger,"Paul R Manger"
Samik Banerjee,"Samik Banerjee"
George M Varghese,"George M Varghese"
Matti Mäntysalo,"Matti Mäntysalo"
NA REMOVE,"h"
Kristina Gopcevic,"Kristina Gopcevic"
Simon Lyra,"Simon Lyra"
NA REMOVE,","
Dinesh Prabhu,"Dinesh Prabhu"
Neeltje AE Allard,"Neeltje AE Allard"
Richa Verma,"Richa Verma"
B Vaishali,"B Vaishali"
Akl Tony,"Akl Tony"
S Suresh,"S Suresh"
PM Nabeel,"PM Nabeel"
Emy Anu Thomas,"Emy Anu Thomas"
Steffen Leonhardt,"Steffen Leonhardt"
Arvind C Ganesh,"Arvind C Ganesh"
Jayaraj Joseph,"Jayaraj Joseph"
S Gopalalkrishna,"S Gopalalkrishna"
KT Dinesh Raj,"KT Dinesh Raj"
Daniel Tward,"Daniel Tward"
Vinay Kishnani,"Vinay Kishnani"
Jayaraj Joseph,"J Jayaraj"
M Chenniappan,"M Chenniappan"
Ravikumar Radhakrishnan,"Ravikumar Radhakrishnan"
NA REMOVE,"m"
Maria C DeRosa,"Maria Derosa"
Maryam Kavousi,"Maryam Kavousi"
Jayaraman Kiruthi Vasan,"Jayaraman Kiruthi Vasan"
Ronald MA Henry,"Ronald MA Henry"
Mohanasankar Sivaprakasam,"Mohanashankar Sivaprakasam"
Mandy AG Peggen,"Mandy AG Peggen"
Preejith SP,"Preejith SP"
Petras Navickas,"Petras Navickas"
Harivanzan Vijayakumar,"Harivanzan Vijayakumar"
Arun Bhaskar,"Arun Bhaskar"
Balamurali Murugesan,"Balamurali Murugesan"
Prashanth Ramakrishna,"Prashanth Ramakrishna"
Nimal Jagadeesh Kumar,"Nimal Jagadeesh Kumar"
NA REMOVE,"g"
Mai Tone Lønnebakken,"Mai Tone Lønnebakken"
Ahamed Jeelani,"Ahamed Jeelani"
Partha P Mitra,"Partha P Mitra"
NA REMOVE,"l"
Pierre Boutouyrie,"Pierre Boutouyrie"
John Allen,"John Allen"
Thoddi Muralidharan,"Thoddi Muralidharan"
Sudhan Chandrasekaran,"Sudhan Chandrasekaran"
S Leonhardt,"S Leonhardt"
Mihail Bota,"Mihail Bota"
Rahul Ashvinbhai Makadia,"Rahul Ashvinbhai Makadia"
Aishvarya Rajagopalan,"Aishvarya Rajagopalan"
Rahul Manoj,"Rahul Manoj"
S Ishwarya,"S Ishwary"
Kristian Berge,"Kristian Berge"
Prabhakar Sithambaram,"Prabhakar Sithambaram"
Sivamani K,"Sivamani K"
Chloe Park,"Chloe Park"
NA REMOVE,"V"
J Kumutha,"J Kumutha"
Mohanasankar Sivaprakasam,"Mohanasankar Sivaprakasam"
Vedagiri Pushpanathan Karthik,"Vedagiri Pushpanathan Karthik"
BS Renganathan,"BS Renganathan"
Sridhar Nagaiyan,"Sridhar Nagaiyan"
NA REMOVE,"k"
Jenske JM Vermeulen,"Jenske JM Vermeulen"
Mahesh J Shetty,"Mahesh J Shetty"
Partha P Mitra,"Partha Mitra"
Sudha Ramachandra Rao,"Sudha Ramachandra Rao"
Pedro Estrela,"Pedro Estrela"
Thorsten Orlikowsky,"Thorsten Orlikowsky"
Ayantika Das,"Ayantika Das"
Kiran V Raj,"Raj Kiran"
Sivathanu Neelakantan,"Sivathanu Neelakantan"
Duarte Miguel F Prazeres,"Duarte Miguel França Prazeres"
Indra Steens,"Indra Steens"
Clive Demetrius Jaimme Poppen,"Clive Demetrius Jaimme Poppen"
Coen CWG Bongers,"Coen CWG Bongers"
Michael Paul,"Michael Paul"
Ashish Kumar Sahani,"Ashish Kumar Sahani"
Andrea Guala,"Andrea Guala"
Thomas Stieglitz,"Thomas Stieglitz"
Siegfried Wassertheurer,"Siegfried Wassertheurer"
Elisabetta Bianchini,"Elisabetta Bianchini"
Sathish Pandidurai,"Sathish Pandidurai"
Vimarsha Kodithuwakku,"Vimarsha Kodithuwakku"
Christopher DJ,"Christopher DJ"
Thijs P Kerstens,"Thijs P Kerstens"
Esmée A Bakker,"Esmée A Bakker"
Merle CA Schoofs,"Merle CA Schoofs"
VV Girish,"VV Girish"
R Vignesh,"R Vignesh"
Karthika Pandurangan,"Karthika Pandurangan"
NA REMOVE,"n"
Isa H Mast,"Isa H Mast"
Gerard Stansby,"Gerard Stansby"
NA REMOVE,"y"
Anna-Kaisa Puuronen,"Anna-Kaisa Puuronen"
Rohan Hajare,"Rohan Hajare"
Kishore Kumar Deepak,"Kishore Kumar"
NA REMOVE,"s"
Prithvi Suresh,"Prithvi Suresh"
Jayashankar Venkataraman,"Jayashankar Venkataraman"
Joana Carlos Mesquita Ferreira,"Joana Carlos Mesquita Ferreira"
Annamol Alex,"Annamol Alex"
T Balamugesh,"T Balamugesh"
Ute Seeland,"Ute Seeland"
Thomas van Sloten,"Thomas van Sloten"
Paolo Salvi,"Paolo Salvi"
Kaushik Basak Chowdhury,"Kaushik Basak Chowdhury"
Karthik Srinivasa,"Karthik Srinivasa"
Telmo Pereira,"Telmo Pereira"
Frans H Rutten,"Frans H Rutten"
Augustine Onubeze,"Augustine Onubeze"
Abi Manesh,"Abi Manesh"
Thijs RJ Landman,"Thijs RJ Landman"
Aravind A Anil,"Aravind A Anil"
Nimmi Sudarsan,"Nimmi Sudarsan"
S Amalan,"S Amalan"
Bibi A Schreurs,"Bibi A Schreurs"
Iris A de Koning,"Iris A de Koning"
Iris M Visser,"Iris M Visser"
Geert-Jan Geersing,"Geert-Jan Geersing"
Tammo Delhaas,"Tammo Delhaas"
NA REMOVE,"M"
Chandra Ganesh,"Chandra Ganesh"
Bart Spronck,"Bart Spronck"
Narayanan Raghavan,"Narayanan Raghavan"
NA REMOVE,"i"
Tim J Schuijt,"Tim J Schuijt"
Sophie H Kroesen,"Sophie H Kroesen"
Prachi Srivastava,"Prachi Srivastava"
Malay Ilesh Shah,"Malay Ilesh Shah"
Ebru Saatçi,"Ebru Saatçi"
Sricharan Vijayarangan,"Sricharan Vijayarangan"
Tomasz J Nowakowski,"Tomasz J Nowakowski"
Duarte Miguel F Prazeres,"Duarte Miguel F Prazeres"
M Paul,"M Paul"
Vartika Awasthi,"Vartika Awasthi"
NA REMOVE,
Kaushik Sarveswaran,"Kaushik Sarveswaran"
Kolukuluri Akhil Varma,"Kolukuluri Akhil Varma"
Janneke IA Vloet,"Janneke IA Vloet"
S Suresh,"Suresh S"
Manish Soneja,"Manish Soneja"
Coen DA Stehouwer,"Coen DA Stehouwer"
Harish E Kumar,"E Harish Kumar"
NA REMOVE,"j"
NA REMOVE,"u"
Navya Rose George,"Navya Rose George"
J Ferin Joseph,"J Ferin Joseph"
Paresh Maniyar,"Paresh Maniyar"
NA REMOVE,"e"
Tiina Vuorinen,"Tiina Vuorinen"
V Jayashankar,"V Jayashankar"
PM Nabeel,"Pm Nabeel"
Kiran V Raj,"V Raj Kiran"
Timo Kankkunen,"Timo Kankkunen"
Tom TJ Luiken,"Tom TJ Luiken"
Serena Zanelli,"Serena Zanelli"
Mohanasankar Sivaprakasam,"Mohansankar Sivaprakasam"
Janos Nemcsik,"Janos Nemcsik"
A Antony Raj,"A Antony Raj"
Suresh Seshadri,"Suresh Seshadri"
Keerthi Ram,"Keerthi Ram"
Naveet Wig,"Naveet Wig"
Sakthivel Selvaraj,"Sakthivel Selvaraj"
Koen D Reesink,"Koen D Reesink"
Anand Chandrasekhar,"Anand Chandrasekhar"
A Shyam,"A Shyam"
Thijs MH Eijsvogels,"Thijs MH Eijsvogels"
Davide Agnoletti,"Davide Agnoletti"
Mohanasankar Sivaprakasam,"Sivaprakasam Mohanasankar"
M Shankar,"M Shankar"
NA REMOVE,"R"
S Latha,"S Latha"
C Rajakumaran,"C Rajakumaran"
Antonios Lazaridis,"Antonios Lazaridis"
S Mohanasankar,"S Mohanasankar"
Ranjit Immanuel James,"Ranjit Immanuel James"
Thomas Weber,"Thomas Weber"
Ana Belen Amado Rey,"Ana Belen Amado Rey"
Vignesh Ravichandran,"Vignesh Ravichandran"
Ganapathy Jaganathan,"Ganapathy Jaganathan"
NA REMOVE,"P"
Sadagopalan Thanikachalam,"Sadagopan Thanikachalam"
Maria Raffaella Martina,"Maria Raffaella Martina"
Preejith SP,"SP Preejith"
Teja Prakash Kakarla,"Teja Prakash Kakarla"
Khandelwal Shubham,"Khandelwal Shubham"
Sampo Nurmentaus,"Sampo Nurmentaus"
Mousumi Sen,"Mousumi Sen"
Bregina TP Kersten,"Bregina TP Kersten"
Ramdayalan Kumarasami,"Ramdayalan Kumarasami"
Sharath M Shankaranarayana,"Sharath M Shankaranarayana"
Jaikishan Jayakumar,"Jaikishan Jayakumar"
Alessandro Giudici,"Alessandro Giudici"
Jose Joy,"Joy Jose"
Koen M van Der Sluijs,"Koen M van Der Sluijs"
Youju Huang,"Youju Huang"
Dick HJ Thijssen,"Dick HJ Thijssen"
Giacomo Pucci,"Giacomo Pucci"
Sylvan LJE Janssen,"Sylvan LJE Janssen"
Yvonne AW Hartman,"Yvonne AW Hartman"
Satheesh Natarajan,"Satheesh Natarajan"
Eugenia Gkaliagkousi,"Eugenia Gkaliagkousi"
